,title,price,area_in_sqft,location
157,"200 Sq. Yards Plot for Sale  in Srisailam Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Freehold
158,"125 Sq. Yards Open Plots for Sale  in Bibi Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1125 sq.ft (125 Sq. Yards),"Bibi Nagar, Hyderabad"
159,"240 Sq. Yards Lands for Sale  in Ibrahimpatnam, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2160 sq.ft (240 Sq. Yards),"Ibrahimpatnam, Hyderabad"
160,"150 Sq. Yards Residential Plots for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Yadagirigutta, Hyderabad"
161,"1 RK 242 Sq.ft. Flats / Apartments for Sale in Ramoji Film City, Hyderabad","<span class=""pro-rice"">Call for Price</span>",242 sq.ft,1
162,"1323 Sq.ft. Open Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft,"Keshampet, Hyderabad"
163,"1323 Sq.ft. Open Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft,"Keshampet, Hyderabad"
164,"1323 Sq.ft. Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft,"Keshampet, Hyderabad"
165,"-146 Sq. Yards Land for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",-1314 sq.ft (-146 Sq. Yards),"Yadagirigutta, Hyderabad"
166,"1 RK 120 Sq.ft. Flats / Apartments for Sale in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",120 sq.ft,1
167,"1320 Sq.ft. Plots for Sale  in Balanagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft,"Balanagar, Hyderabad"
168,1320 Sq.ft. Plot for Sale  in Hyderabad,"<span class=""pro-rice"">Call for Price</span>",1320 sq.ft,"Balangar, Hyderabad, Hyderabad"
169,"100 Sq. Yards Open Plots for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Yadagirigutta, Hyderabad"
170,"1320 Sq.ft. Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft,"Keshampet, Hyderabad"
171,"150 Sq. Yards Land for Sale  in Lingampally, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Lingampally, Hyderabad"
172,"1323 Sq.ft. Plot for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft,"Shadnagar, Hyderabad"
173,"200 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Shadnagar, Hyderabad"
174,"147 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Shadnagar, Hyderabad"
175,"900 Sq.ft. Land for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft,"Keshampet, Hyderabad"
176,"147 Sq. Yards Plot for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Shadnagar, Hyderabad"
177,"147 Sq. Yards Land for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
178,"147 Sq. Yards Lands for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
179,"150 Sq. Yards Plot for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
180,"147 Sq. Yards Residential Plots  in Warangal Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
181,"150 Sq. Yards Plot  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Shadnagar, Hyderabad"
182,"1 RK 11089 Sq.ft. Farm House for Sale in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",11089 sq.ft,1
183,"1 RK 1089 Sq.ft. Farm House for Sale in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft,1
184,"1 RK 1089 Sq.ft. Farm House for Sale in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft,1
185,"147 Sq. Yards Residential Plots for Sale  in Balanagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Balanagar, Hyderabad"
186,"165 Sq. Yards Plot for Sale  in Ibrahimpatnam, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Ibrahimpatnam, Hyderabad"
187,"1323 Sq.ft. Plots  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft,"Keshampet, Hyderabad"
188,"720 Sq.ft. Plot for Sale  in Bhongir, Hyderabad","<span class=""pro-rice"">Call for Price</span>",720 sq.ft,Freehold
189,"200 Sq. Yards Plot for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Shadnagar, Hyderabad"
190,"10000 Sq.ft. Open Plots for Sale  in Tukkuguda, Hyderabad","<span class=""pro-rice"">Call for Price</span>",10000 sq.ft,"Tukkuguda, Hyderabad"
191,"1 RK 60 Sq. Yards Independent House  for Sale in Dammaiguda, Hyderabad","<span class=""pro-rice"">Call for Price</span>",540 sq.ft (60 Sq. Yards),"Dammaiguda, Hyderabad"
192,"150 Sq. Yards Lands for Sale  in Bangalore Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Bangalore Highway, Hyderabad"
193,"147 Sq. Yards Plot for Sale  in Balanagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
194,"200 Sq. Yards Lands for Sale  in Kapra, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Kapra, Hyderabad"
195,"121 Sq. Yards Lands for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Shadnagar, Hyderabad"
196,"147 Sq. Yards Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
197,"121 Sq. Yards Land  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Shadnagar, Hyderabad"
198,"146.66 Sq. Yards Lands for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1319 sq.ft (146.66 Sq. Yards),"Shadnagar, Hyderabad"
199,"147 Sq. Yards Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Shadnagar, Hyderabad"
200,"146.66 Sq. Yards Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1319 sq.ft (146.66 Sq. Yards),"Shadnagar, Hyderabad"
201,"147 Sq. Yards Residential Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
202,"147 Sq. Yards Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
203,"200 Sq. Yards Lands  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Aleru, Hyderabad"
204,"147 Sq. Yards Plot for Sale  in Balanagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Balanagar, Hyderabad"
205,"146 Sq. Yards Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Shadnagar, Hyderabad"
206,"147 Sq. Yards Plot for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Aleru, Hyderabad"
207,"200 Sq. Yards Open Plots for Sale  in Vangapalli, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Vangapalli, Hyderabad"
208,"100 Sq. Yards Lands for Sale  in Kothur, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Kothur, Hyderabad"
209,"200 Sq. Yards Plots for Sale  in Yacharam Mandal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Yacharam Mandal, Hyderabad"
210,"147 Sq. Yards Plot for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
211,"36 Sq. Yards Land for Sale  in Yacharam Mandal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",324 sq.ft (36 Sq. Yards),"Yacharam Mandal, Hyderabad"
212,"150 Sq. Yards Residential Plots for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Yadagirigutta, Hyderabad"
213,"167 Sq. Yards Lands for Sale  in Ibrahimpatnam, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1503 sq.ft (167 Sq. Yards),"Ibrahimpatnam, Hyderabad"
214,"147 Sq. Yards Residential Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Shadnagar, Hyderabad"
215,"200 Sq. Yards Residential Plots  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Yadagirigutta, Hyderabad"
216,"188 Sq. Yards Open Plots for Sale  in Hayathnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1692 sq.ft (188 Sq. Yards),"Hayathnagar, Hyderabad"
217,"146 Sq. Yards Land for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Shadnagar, Hyderabad"
218,"150 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Yadagirigutta, Hyderabad"
219,"147 Sq. Yards Open Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Shadnagar, Hyderabad"
220,"100 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),Freehold
221,"135 Acre Plot for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",5880600 sq.ft (135 Acre),"Yadagirigutta, Hyderabad"
222,"1350 Sq.ft. Lands for Sale  in Kadthal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft,"Kadthal, Hyderabad"
223,"160 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1440 sq.ft (160 Sq. Yards),"Adikmet, Hyderabad"
224,"4 BHK 133 Sq.ft. Builder Floor for Sale in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",133 sq.ft,4
225,"100 Sq. Yards Plots for Sale  in Manikonda, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Manikonda, Hyderabad"
226,"200 Sq. Yards Plots for Sale  in Adibatla, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adibatla, Hyderabad"
227,"200 Sq.ft. Land for Sale  in Bhongir, Hyderabad","<span class=""pro-rice"">Call for Price</span>",200 sq.ft,Freehold
228,"150 Sq. Yards Plot for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Shadnagar, Hyderabad"
229,"9680 Sq. Yards Plot for Sale  in Banjara Hills, Hyderabad","<span class=""pro-rice"">Call for Price</span>",87120 sq.ft (9680 Sq. Yards),"Banjara Hills, Hyderabad"
230,"200 Sq. Yards Plot for Sale  in Chotuppal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Chotuppal, Hyderabad"
231,"35 Sq. Yards Lands  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",315 sq.ft (35 Sq. Yards),"Shadnagar, Hyderabad"
232,"150 Sq. Yards Residential Plots for Sale  in Hayathnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
233,"150 Sq. Yards Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Shadnagar, Hyderabad"
234,"200 Sq. Yards Lands for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Aleru, Hyderabad"
235,"150 Sq. Yards Lands  in Bhongir, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
236,"200 Sq. Yards Open Plots for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Aleru, Hyderabad"
237,"5499 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",49491 sq.ft (5499 Sq. Yards),"Shadnagar, Hyderabad"
238,"150 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Shadnagar, Hyderabad"
239,"147 Sq. Yards Residential Plots  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
240,"278 Sq. Yards Plots for Sale  in Malkajgiri, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2502 sq.ft (278 Sq. Yards),"Malkajgiri, Hyderabad"
241,"150 Sq.ft. Plot for Sale  in Warangal Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",150 sq.ft,Freehold
242,"200 Sq. Yards Residential Plots  in Nagarjuna Nagar, Tarnaka, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Nagarjuna Nagar, Tarnaka, Hyderabad"
243,"147 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
244,"1179 Sq.ft. Land for Sale  in JP Darga, Kothur, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1179 sq.ft,Freehold
245,"165 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),East Face
246,"146 Sq. Yards Open Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Shadnagar, Hyderabad"
247,"147 Sq. Yards Residential Plots  in Vangapalli, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
248,"200 Sq.ft. Land  in Vijayawada Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",200 sq.ft,"Vijayawada Highway, Hyderabad"
249,"3 BHK 1650 Sq.ft. Flats / Apartments for Sale in Kollur, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1650 sq.ft,3
250,"147 Sq.ft. Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",147 sq.ft,Freehold
251,"150 Sq.ft. Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",150 sq.ft,Freehold
252,"146 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Adikmet, Hyderabad"
253,"200 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Freehold
254,"242 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2178 sq.ft (242 Sq. Yards),Freehold
255,"2 BHK 1165 Sq.ft. Flats / Apartments for Sale in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1165 sq.ft,2
256,"147 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
257,146 Sq.ft. Residential Plots for Sale  in Hyderabad,"<span class=""pro-rice"">Call for Price</span>",146 sq.ft,Freehold
258,"160 Sq. Yards Plot  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1440 sq.ft (160 Sq. Yards),"Adikmet, Hyderabad"
259,"146 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Adikmet, Hyderabad"
260,"146.6 Sq. Yards Land for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1319 sq.ft (146.6 Sq. Yards),"Shadnagar, Hyderabad"
261,"120 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),Freehold
262,"147 Sq. Yards Plot for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
263,"150 Sq.ft. Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",150 sq.ft,2
264,"146 Sq. Yards Land  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Shadnagar, Hyderabad"
265,"147 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
266,"150 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
267,"146 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Adikmet, Hyderabad"
268,"150 Sq. Yards Lands  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
269,"151 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1359 sq.ft (151 Sq. Yards),Freehold
270,"100 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Adikmet, Hyderabad"
271,"147 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
272,"150 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
273,"150 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
274,"147 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
275,"150 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
276,"150 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
277,"150 Sq. Yards Plot  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
278,"303 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2727 sq.ft (303 Sq. Yards),Freehold
279,"1 RK 200 Sq.ft. Independent House  for Sale in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",200 sq.ft,Freehold
280,"147 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
281,"200 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Freehold
282,"146 Sq. Yards Open Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Adikmet, Hyderabad"
283,"147 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
284,"100 Sq. Yards Residential Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),Freehold
285,"149 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1341 sq.ft (149 Sq. Yards),Freehold
286,"146 Sq. Yards Plot  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),Freehold
287,"1 RK 19000 Sq. Yards Flats / Apartments for Sale in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",171000 sq.ft (19000 Sq. Yards),Freehold
288,"400 Sq. Yards Lands  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",3600 sq.ft (400 Sq. Yards),"Adikmet, Hyderabad"
289,"242 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2178 sq.ft (242 Sq. Yards),Freehold
290,"147 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
291,"150 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
292,"120 Sq. Yards Plot  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),Freehold
293,"100 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Adikmet, Hyderabad"
294,"200 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),2
295,"200 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
296,"150 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),2
297,"147 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
298,"1800 Sq.ft. Lands  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft,"Adikmet, Hyderabad"
299,"1320 Sq.ft. Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft,Freehold
300,"300 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2700 sq.ft (300 Sq. Yards),"Adikmet, Hyderabad"
301,"146 Sq. Yards Residential Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Adikmet, Hyderabad"
302,"150 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
303,"150 Sq. Yards Lands  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
304,"140 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1260 sq.ft (140 Sq. Yards),Freehold
305,"100 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),Freehold
306,"350 Acre Plot  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",15246000 sq.ft (350 Acre),"Adikmet, Hyderabad"
307,"200 Guntha Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",217798 sq.ft (200 Guntha),"Adikmet, Hyderabad"
308,"150 Sq. Yards Open Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),2
309,"150 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
310,"183 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1647 sq.ft (183 Sq. Yards),Freehold
311,"120 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),Freehold
312,"200 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
313,"165 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),Freehold
314,"165 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),Freehold
315,"150 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
316,"200 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
317,"200 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
318,"300 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2700 sq.ft (300 Sq. Yards),"Adikmet, Hyderabad"
319,"240 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2160 sq.ft (240 Sq. Yards),"Adikmet, Hyderabad"
320,"150 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
