,title,price,area_in_sqft,location
35,"1 BHK 121 Sq. Yards Flats / Apartments for Sale in Dundigal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Dundigal, Hyderabad"
36,"6400 Sq. Yards Land for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",57600 sq.ft (6400 Sq. Yards),"Keshampet, Hyderabad"
37,"125.4 Sq. Yards Land for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1128 sq.ft (125.4 Sq. Yards),"Aleru, Hyderabad"
38,"2 BHK 1150 Sq.ft. Independent House  for Sale in Ankireddypalli, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1150 sq.ft,3
39,"150 Sq. Yards Plot for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Aleru, Hyderabad"
40,"121 Sq. Yards Plot  in Miyapur, Hyderabad","<span class=""pro-rice"">₹ 5 Lac</span>",1089 sq.ft (121 Sq. Yards),"Miyapur, Hyderabad"
41,"180 Sq. Yards Lands  in Kongarkalan, Hyderabad","<span class=""pro-rice"">₹ 5.04 Lac</span>",1620 sq.ft (180 Sq. Yards),Freehold
42,"200 Sq. Yards Plots  in Vijayawada Highway, Hyderabad","<span class=""pro-rice"">₹ 5 Lac</span>",1800 sq.ft (200 Sq. Yards),"Vijayawada Highway, Hyderabad"
43,"146.6 Sq. Yards Lands for Sale  in Kadthal, Hyderabad","<span class=""pro-rice"">₹ 9.53 Lac</span>",1319 sq.ft (146.6 Sq. Yards),"Kadthal, Hyderabad"
44,"167 Sq. Yards Lands for Sale  in Bibi Nagar, Hyderabad","<span class=""pro-rice"">₹ 7.52 Lac</span>",1503 sq.ft (167 Sq. Yards),Freehold
45,"133 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">₹ 6.50 Lac</span>",1197 sq.ft (133 Sq. Yards),"Shadnagar, Hyderabad"
46,"147 Sq. Yards Land for Sale  in Kadthal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Kadthal, Hyderabad"
47,"1810 Sq.ft. Land  in Gandi Maisamma, Hyderabad","<span class=""pro-rice"">₹ 9 Lac</span>",1810 sq.ft,"Gandi Maisamma, Hyderabad"
48,"165 Sq. Yards Plot for Sale  in Amangal, Hyderabad","<span class=""pro-rice"">₹ 10 Lac</span>",1485 sq.ft (165 Sq. Yards),"Amangal, Hyderabad"
49,"150 Sq. Yards Residential Plots for Sale  in Kukatpally, Hyderabad","<span class=""pro-rice"">₹ 9 Lac</span>",1350 sq.ft (150 Sq. Yards),"Kukatpally, Hyderabad"
50,"3 BHK 1730 Sq.ft. Flats / Apartments for Sale in Kompally, Hyderabad","<span class=""pro-rice"">₹ 8 Lac</span>",1730 sq.ft,2
51,"121 Sq. Yards Residential Plots for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">₹ 5.45 Lac</span>",1089 sq.ft (121 Sq. Yards),Freehold
52,"121 Sq. Yards Land  in Habsiguda, Hyderabad","<span class=""pro-rice"">₹ 9.92 Lac</span>",1089 sq.ft (121 Sq. Yards),"Habsiguda, Hyderabad"
53,"1 BHK 121 Sq. Yards Farm House for Sale in Shadnagar, Hyderabad","<span class=""pro-rice"">₹ 8.47 Lac</span>",1089 sq.ft (121 Sq. Yards),"Shadnagar, Hyderabad"
54,"121 Sq. Yards Lands for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Aleru, Hyderabad"
55,"1 BHK 121 Sq. Yards Flats / Apartments for Sale in Dundigal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Dundigal, Hyderabad"
56,"6400 Sq. Yards Land for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",57600 sq.ft (6400 Sq. Yards),"Keshampet, Hyderabad"
57,"125.4 Sq. Yards Land for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1128 sq.ft (125.4 Sq. Yards),"Aleru, Hyderabad"
58,"2 BHK 1150 Sq.ft. Independent House  for Sale in Ankireddypalli, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1150 sq.ft,3
59,"150 Sq. Yards Plot for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Aleru, Hyderabad"
60,"167 Sq. Yards Plots  in Bibi Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1503 sq.ft (167 Sq. Yards),"Bibi Nagar, Hyderabad"
